Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"Correction Bug Affichage Rappel List Activité",OD-2471,OBCS-9197
"Lorsque le formulaire contact est renseigné, enlever l'obligation sur le formulaire interlocuteur DANS PROSPECT",OD-2470,OBCS-9196
"Dans la fonction rappel du CRM, nous souhaitons avoir  la possibilité de filtrer les rappels par: - Date de rappel, - Client, - Statut.",OD-2469,OBCS-9195
"Dashboard CRM (filtrer les données selon la ou les bases de travail du user connecté) ;",OD-2468,OBCS-9194
"Modèle de facture vente à intégrer",OD-2467,OBCS-9193
"AGRO/Dashboard",OD-2466,OBCS-9192
"Dashboard principal: Faire la correspondance avec la comptabilité (voir le modèle SIS)",OD-2465,OBCS-9191
"Rapprochement bancaire à partir des écritures manuelles ( Grand livre)",OD-2464,OBCS-9190
"Encaissement client: Avoir la possibilité de choisir un compte autre que les comptes de trésorerie",OD-2463,OBCS-9189
"AGRO/Sous Module Export - Facture définitive",OD-2462,OBCS-9188
"AGRO/Sous Module Export - Facture proforma",OD-2461,OBCS-9187
"AGRO/Sous Module Export - Ordre de transit",OD-2460,OBCS-9186
"AGRO/Sous Module Export - Contrat client",OD-2459,OBCS-9185
"AGRO/Sous Module Export - Prévision des embarquements",OD-2458,OBCS-9184
"Finance/Comptabilité Général/ Grand-Livre et Balance tiers : Le filtre par intervalle de numéros de compte ne marche pas",OD-2457,OBCS-9183
"Export du fichier de traçabilité planteur",OD-2456,OBCS-9182
"Exécuter le règlement d'un bordereau de réception + Génération des écritures",OD-2455,OBCS-9181
"Programmation de règlement fournisseur : ajouter deux nouvelles natures de paiement ""Prefinancement"" et ""Bordereau de réception"" spécifiques aux fournisseurs de cacao",OD-2454,OBCS-9180
"Connaisement brousse : ajouter une fonction import",OD-2453,OBCS-9179
"Identification des producteurs : ajouter une fonction import",OD-2452,OBCS-9178
"Connaissement usine et Pesée brousse : Filtrer la liste des fournisseurs sur les coopératives et les societés d'achat",OD-2451,OBCS-9177
"Fournisseur : ajouter un champ conditionnel Type fournisseur (Autre/Coopérative/Societé d'achat)",OD-2450,OBCS-9176
"Destinatons : limiter aux ports d'embarquement",OD-2449,OBCS-9175
"Renommer la fonctionnalité Nature Export en Type d'Embarquement",OD-2448,OBCS-9174
"Correction bulletin de salaire portail employé",OD-2447,OBCS-9173
"Ajout de colonne supplémentaire et changement de la position des rubriques à l'exportation en vrac du livre de paie",OD-2445,OBCS-9171
"Modèle de bulletin sans departement",OD-2444,OBCS-9170
"Correction donnée du bulletin",OD-2443,OBCS-9169
"RH/Paramétrage Paie / Refactoring paie (facilité addition éléments variables, workflow de paie / Edition automatique des bulletins dpt etc..)",OD-2442,OBCS-9168
"Correction des grades RH",OD-2441,OBCS-9167
"Gérer les profils par entité",OD-2440,OBCS-9166
"Enquête de satisfaction OBC",OD-2439,OBCS-9165
"Sur la fiche article, mettre Pièce détachée auto au lieu de pièce détachée simple",OD-2438,OBCS-9164
"Changer Note de débit/Crédit par avis de Débit/Crédit",OD-2437,OBCS-9163
"Mettre les valeurs coût du projet en HT (Dashboard suivi cout projet) / Afficher les valeurs de la colonne Encaissement",OD-2436,OBCS-9162
"Supprimer « Bon pour accord » sur le modèle de bon de commande intégrer",OD-2435,OBCS-9161
"Finance/Comptabilité générale/Plan comptable générale entité : Afficher les comptes concernés par des doublons dans le plan comptable générale entité (voir capture) sur JOELKA",OD-2434,OBCS-9160
"Finance/Opérations de caisse : Supprimer la nature de prestation « Règlement client » sur le formulaire d’opération de caisse",OD-2433,OBCS-9159
"RH/Gestion employés/Portail employé : Quand Olivier clique sur la fonctionnalité portail employé, il a un message d'erreur ( voir capture)",OD-2432,OBCS-9158
"Impossible d'imprimer des bulletins sur deux années simultanément (exemple : Novembre 2024 à Février 2025)",OD-2431,OBCS-9157
"Opération/Vente/Recouvrement facture client : Un message d'erreur apparaît dès qu'on clique sur la fonctionnalité (voir capture)",OD-2430,OBCS-9156
"RH/Fichier du Personnel/Importation - Importation de fichier du personnel Impossible",OD-2429,OBCS-9155
"Point des requêtes SIE TRAVAUX",OD-2428,OBCS-9154
"Opération/Agro/Enregistrement et Import Producteur - Amélioration Enregistrement Fiche import et formulaire Planteur",OD-2427,OBCS-9086
"RH/DOCUMENTS/LIVRE DE PAIE GENERAL/Nous constatons des incohérences lors de l'affichage du livre de paie",OD-2426,OBCS-9065
"Projet/Note de Frais - Message d'erreur - Formulaire Note de frais",OD-2425,OBCS-8984
"Récupération impôts et taxes (FDFP)",OD-2424,OBCS-8976
"Nombre de Jours de congés non pris en compte sur le bulletin de paie",OD-2423,OBCS-8975
"Finance/Comptabilité générale/Historique des imputations comptables : Le filtre des opérations ""comptabilisées ou non comptabilisées"" ne fonctionne pas",OD-2422,OBCS-8906
"Agro - Analyse et structuration DASHBOARD",OD-2421,OBCS-8904
"Agro - Paramétrage Fournisseurs cacao",OD-2420,OBCS-8903
"Agro - Formulaire Nature Export / Renommer le champ en type d'embarquement",OD-2419,OBCS-8902
"Agro - Création Fonctionnalité et Formulaire "" Bordereau de réception""",OD-2418,OBCS-8901
"Agro - Création Fonctionnalité et Formulaire ""pesée""",OD-2416,OBCS-8899
"paramétrage/ ADMINISTRATION DES PROFILES ET DES ROLES/ Dysfonctionnement accès fonctionnalité à partir de profil utilisateur",OD-2414,OBCS-8887
"Lorsqu'on enregistre une opération sans sélectionner 'type d'achat', plusieurs mails sont envoyés au demandeur et au validateur (Très urgent)",OD-2412,OBCS-8885
"Gestion compte utilisateurs/RH/Créer les accès de rapports RH à donner aux utilisateurs",OD-2411,OBCS-8884
"Menu latéral gauche/paramétrage entité/A la modification d'une entité nous constatons un message d'erreur quand on doit enregistrer",OD-2410,OBCS-8883
"RH/Gestion Employé/Portail Employé - Revoir la présentation ou l'affichage des données du portail Employé",OD-2409,OBCS-8850
"Au changement d'une entité, le rapport hebdomadaire sur les timesheet prend en compte l'ancienne entité",OD-2408,OBCS-8836
"Donner la possibilité d'afficher les donnée par site.",OD-2407,OBCS-8819
"RH/Salaire/Formulaire - Verrouiller l'option en fonction du choix effectué pour le calcul salaire",OD-2406,OBCS-8775
"RH/Gestion Employé/Edition Attestation congé/ - Donnée incomplète sur l'attestation de congés",OD-2405,OBCS-8774
"Opération/Sous module Agro - Création Fonctionnalité "" Création Transporteur"" ",OD-2403,OBCS-8772
"Opération/Sous module Agro - Création Fonctionnalité ""Connaissement brousse""",OD-2402,OBCS-8771
"Opération/Sous module Agro - Création Fonctionnalité ""Prévision tonnage brousse"" ",OD-2401,OBCS-8770
"Opération/Sous module Agro - Création Fonctionnalité "" Identification des producteurs"" ",OD-2400,OBCS-8769
"Finance/Comptabilité Générale/Plan Comptable Générale - Doublon à supprimer dans la base",OD-2399,OBCS-8768
"Finance/Comptabilité générale/ Ecritures Manuelle- Aucune données ne s'affiche dans la liste des comptes fournisseurs quand il s'agit des fournisseurs d'immo compte 404",OD-2398,OBCS-8767
"Quand on enregistre une facture d'achat, on a une page blanche avec un message",OD-2397,OBCS-8766
"Points des requêtes CRM à traiter sur le Dashboard pilotage commercial",OD-2396,OBCS-8759
"Ajouter les montants pour les valeurs filtrés pour les opportunités en cours, opportunités perdues et opportunités gagnées sur une période dans le Dashboard dans le tableau récapitulatif",OD-2395,
"Le formulaire de rappel ne s'affiche pas",OD-2394,OBCS-8757
"Impôts et taxes/ Problèmes sur les écritures d'enregistrement et paiement d'impôts et taxes",OD-2393,OBCS-8754
"RH/SALAIRE/ Calcul OHADA sur 2024 : Nous constatons sur certains mois calculés les cotisations tel que FDFP ET IS PATROALES qui ne se déversent pas",OD-2392,OBCS-8753
"RH/Salaire - Correction calcul de salaire dont le brut est >= 8 000 000",OD-2391,OBCS-8749
"RH/Document/Attestation de travail - Données incomplète sur l'attestation de travail",OD-2390,OBCS-8743
"RH/Document - Date d'embauche à utiliser sur l'Attestation de Travail",OD-2389,OBCS-8742
"RH/Paramétrage Société/ Création Poste Employé - Impossible de Créer un poste employé quand le nombre de caractère est trop long",OD-2388,OBCS-8741
"RH/Paramétrage société/catégorie/A la modification de l'entité pour associer les catégories, nous constatons des doublons qui s'étendent sur plusieurs pages",OD-2387,OBCS-8740
"Possibilité d'importer les postes des employés",OD-2386,OBCS-8664
"Finance /Comptabilité Général/ - Paramétrage Comptabilisation Nature de Prestation",OD-2385,OBCS-8661
"Opération /Achat & Finance/Comptabilité - Formulaire Enregistrement Facture (Champ recherche Nature de prestation & Nouveau paramétrage imputation comptable",OD-2384,OBCS-8660
"Page blanche d'erreur apparaissant sur certaines fonctionnalités",OD-2383,OBCS-8659
"Comptabilité générale/Solde de démarrage des comptes: Dans le fichier csv d'importation, ajouter une colonne ""compte tiers"" ",OD-2382,OBCS-8658
"CRM > DASHBOARD > ETAT DES DEALS : Dans le CRM, l'état des deals s'affiche uniquement après avoir renseigné le filtre et cliqué sur le bouton ""Rechercher"". Cependant, l'affichage est lent, et le nombre d'opportunités clôturées gagnées reste à 0.",OD-2381,OBCS-8657
"CRM - Historique Gestion Opportunité : Ajouter une colonne affichant la probabilité de closing.",OD-2380,OBCS-8655
"CRM - Historique Gestion Opportunité : Remplacer le nom complet du client par son sigle dans la colonne des clients.",OD-2379,OBCS-8654
"Supprimer l'affichage de l'heure dans le libellé des opportunités généré par défaut afin de réduire la largeur de la colonne ""Libellé Opportunité"".",OD-2378,OBCS-8653
"Ajouter une vue listant les raccourcis des formulaires de création des fonctionnalités : Prospect, Client, Activité et Gestion Opportunité. A l'instar de la vue ""Liens rapides"" qui est dans : Dashboard utilisateur de la page d'accueil de OBC.",OD-2376,OBCS-8651
"CRM > DASHBOARD > CLIENT : Ajouter le nombre de clients et de prospects dans le ""Dashboard Client (Map)"".",OD-2375,OBCS-8650
"CRM > DASHBOARD > ACTIVITÉ COMMERCIALE : Ajouter un tableau affichant l'état des deals dans l'activité commerciale (destiné aux commerciaux).",OD-2374,OBCS-8649
"CRM > DASHBOARD > ETAT DES DEALS : Corriger le bug lié à l'affichage de l'état des deals.",OD-2373,OBCS-8648
"CRM > DASHBOARD > ACTIVITÉ COMMERCIALE : Ajouter un filtre ""Commercial"",  commun pour tous les graphiques de la page ""Dashboard Activité Commerciale"".",OD-2372,OBCS-8647
"CRM > DASHBOARD > ACTIVITÉ COMMERCIALE : Ajouter un ""title"" affichant les clients appelés ou visités dans le tableau de flux d'activité.",OD-2371,OBCS-8646
"RH/DOcument - Exportation Livre de paie Général Cilagri impossible",OD-2370,OBCS-8645
"Projet/ Gérer mes projets/ - Enregistrement TimeSheet - Liste des journaliers incomplète",OD-2369,OBCS-8644
"Correction des nombre de jours légaux fonction des absences",OD-2367,OBCS-8642
"Quand on veut valider un workflow, l'affichage de la page est anormale (voir capture)",OD-2366,OBCS-8641
"Stock de congés : Récupérations des stocks de congés à partir du stock de démarrage",OD-2365,OBCS-8640
"Finance/Budget - Doublon salaire journalier constaté dans le budget",OD-2364,OBCS-8639
"RH/Gestion Employé/ Pointage permanant - Donner la possibilité de calculer la paie à partir d'un pointage, TimeSheet et autre",OD-2363,OBCS-8637
"RH/Paramétrage/ - Mauvais déversement des grades",OD-2362,OBCS-8539
"RH/Gestion des Employés - Affectation Employé : Revoir le processus et l'interface d'enregistrement des affectations",OD-2361,OBCS-8535
"Créer un filtre dans Fichier du personnel, qui permet juste d'avoir les employés : Dans l'effectif, Hors Effectif, Tout le personnel",OD-2360,OBCS-8534
"Opérations/Immobilisation/Lorsqu'on clique dans le champ famille immo les familles ne se déversent pas sauf si on désactive le champ entité et on réactive à nouveau",OD-2359,OBCS-8533
"AGRO/Sous Module Achat - Connaissement Usine",OD-2358,OBCS-8532
"Création Fournisseur - Rajout du type de prestation dans le fichier d'importation",OD-2357,OBCS-8531
"Avoir la possibilité de définir le nombre d'enregistrement à faire apparaître en historique",OD-2356,OBCS-8530
"Finance/Comptabilité/Grand livre: Lorsqu'on filtre sur un tiers, le grand livre ne s'affiche pas (voir capture)",OD-2355,OBCS-8529
"Encaissement client: dysfonctionnement du bouton export de l'historique des encaissements.",OD-2354,OBCS-8460
"Paramétrage/Général/Calendrier Semaine - La 1ère semaine débute par le jour 05/01/2025",OD-2353,
"Admin Sys/Paramétrage/Gestion des profil - Affichage de la liste par défaut des profils utilisateurs",OD-2352,OBCS-8443
"Intégration Formule : 10% du Brut Imposable",OD-2351,OBCS-8442
"Il est impossible de supprimer une catégorie de prestation",OD-2350,OBCS-8441
"Les libellés des champs sont incorrectes",OD-2349,OBCS-8440
"Opération/Achat/Historique Expression de Besoin - Donner la possibilité de visualiser uniquement les demandes initié par l'utilisateur",OD-2348,OBCS-8439
"CRM/Activités commerciale/Activités: Lorsqu'on clique sur ""Rappel activités"", la page reste vide (voir capture joint)",OD-2347,OBCS-8438
"Opération/Expression De Besoin/ Page d'accueil User - Réception d'une demande d'approbation bien que l'utilisateur ne soit au niveau de validation et que la demande soit adressée au service achat",OD-2346,OBCS-8429
"Mise à niveau Dashboard RH1",OD-2345,OBCS-8428
"Finance/Comptabilité générale /Période comptable: Lorsqu'on enregistre une période comptable , on a une page blanche qui s'affiche (voir capture)",OD-2344,OBCS-8427
"L'affichage de la balance comptable met assez de temps",OD-2342,OBCS-8424
"Ajouter des Dashboard sur les visites, call (voir image joint)",OD-2341,OBCS-8423
"RH/Gestion Employé/Historique Affectation employé - Les blocs s'imbriquent ou s'empilent",OD-2340,OBCS-8422
"Dysfonctionnement du calcul d'ancienneté (plus de 25 ans)",OD-2339,OBCS-8421
"Demande d'asence: Lorqu'on sélectionna congés de paternité, il affiche 4 jours au lieu de 2 jours.",OD-2338,OBCS-8420
"Urgent : Toutes les impressions sont impossibles (grand livre et balance comptables , bulletin de salaire, bon de commande))",OD-2337,OBCS-8419
"RH/Gestion Employé/Demande de Prêt - Rajouter un workflow sur la fonctionnalité demande de prêt",OD-2336,OBCS-8417
"Finance/Comptabilité/Sur toute les options action (Imprimer) -  Donner la possibilité d'envoyer les documents comptable à une adresse mail à partir d'OBC",OD-2335,OBCS-8416
"Paramétrage/Création utilisateur - Envoyer un mail Automatique après création des accès utilisateurs",OD-2334,OBCS-8415
"RH/GestionEmployé/Validation demande d'absence - Donner l’option “retirer le nombre de jour d’absence” dans le calcul de paie lors de la validation de celle ci",OD-2333,OBCS-8414
"Finance/Opérations de Caisse : Quand on clique sur opération de caisse, une page d'erreur apparait après le chargement de la page",OD-2332,OBCS-8413
"Faire apparaitre le RIB de l'entité sur les factures ventes à transmettre aux clients",OD-2331,OBCS-8342
"Opération/Expression de Besoin/ Formulaire - Importation des ligne de produit article et ... Dans le formulaire d'expression de Besoin",OD-2330,OBCS-8341
"Finance/Comptabilité/Caisse - Récupérer le montant enregistré dans une demande de sortie validé lors de la saisie d'une opération de sortie de caisse",OD-2329,OBCS-8340
"Remettre la fonctionnalité ""rapport des prêts salariés"" dans les documents RH",OD-2328,OBCS-8339
"Filtrer la liste des articles dans le formulaire de demande de sortie de stock en fonction de la base de travail sélectionnée",OD-2327,OBCS-8338
"Ajouter la colonne compte tiers dans l'affichage des données au niveau de "" interrogation compte général"". Et colonne compte général au niveau de interrogation de compte tiers",OD-2326,OBCS-8337
"Paramétrage Agro Export",OD-2325,OBCS-8336
"Paramétrage Agro Achat",OD-2324,OBCS-8335
"Carte d'identité du personnel",OD-2323,OBCS-8334
"RH/Gestion Employé/Demande d'Absence - Sélectionner par défaut dans le formulaire de création,dans le champs date de début, la date du jour",OD-2322,OBCS-8333
"RH/Gestion Employé/Demande d'Absence - Sélectionner le nom de l’utilisateur par défaut dans le formulaire d'enregistrement",OD-2321,OBCS-8332
"Message Régulier à la Connexion Compte Utilisateur OBC",OD-2319,OBCS-8330
"Paramétrage/Société/Année Comptable - Ne pas donner la possibilité de saisir une date inférieur à la date de début a la création d'un exercice comptable",OD-2318,OBCS-8328
"RH/GestionEmploye/Ordre d Mission - Modification Ordre de Mission Impossible",OD-2317,OBCS-8327
"RH/Salaire/ Calcul OHADA - Impossible de supprimer la paie d’un utilisateur",OD-2316,OBCS-8321
"AdminSystème/Gestion des Profils Utilisateurs - Conflit lors de l'assignation d'un profil à un utilisateur",OD-2315,OBCS-8319
"Possibilité de prendre en compte les écritures d'extourne au niveau de la récupération du chiffre d'affaires dons la classe 7",OD-2314,OBCS-8301
"Incohérence des données de la TVA.",OD-2313,OBCS-8275
"Historique paiement ajouer une colonne afin d'afficher le nom des founisseurs payés et donner la possibilité de faire le filtre par fournisseur.",OD-2312,OBCS-8274
"RH/Salaire/Calcul OHADA - Cas de deux entités sélectionnées dans la base de Travail : Prise en compte de tous les employés dans le calcul de paie. Bien que, dans le filtre une seule entité soit sélectionnée. ",OD-2311,OBCS-8270
"Projet/Timesheet - Les projets sur l'année antérieur (2024) ne se déversent plus",OD-2310,OBCS-8267
"RH/Salaire/Calcul OHADA - Non prise en compte de tous les employés lors du calcul de salaire",OD-2309,OBCS-8266
"Dette fournisseurs : Amélioration des reporting en tenant compte des paiements dettes antérieurs d'une année à une autre, afin d'avoir une meilleure lisibilité",OD-2308,OBCS-8261
"RH/Gestion Employé/Contrat - Prise en compte des espaces insécable pour les nombres",OD-2307,OBCS-8228
"RH/Document/ - Bulletin salaire",OD-2305,OBCS-8224
"Finance/Comptabilité Général/ Journal - Nomenclature Numéros d'imputation Comptable : [JOURNAL/ANNÉE/MOIS/N°CHRONOLOGIQUE]",OD-2304,OBCS-8223
"RH/Gratification/Récupération base montant gratification incorrecte",OD-2302,OBCS-8221
"RH/Salaire/Document || Bulletin de salaire: Mise à jour stock de congés employé",OD-2301,OBCS-8176
"Réimputations comptable : les comptes tiers ne se déversent pas.",OD-2300,OBCS-8170
"RH / Gestion Employé / Fichier du personnel - Donner la possibilité d'afficher l'historique du personnel en liste ou en box",OD-2299,OBCS-8162
"RH/GestionEmployé/Contrat - Création d'un Historique Groupé des contrats par employés.",OD-2298,OBCS-8161
"Ajouter 3 graphes illustratif sur le dashboard “Suivi mensuel des opportunités”",OD-2297,OBCS-8160
"Budget prévu-réalisé : Le montant des sorties du stock lié au projet n'est pas récupéré dans la colonne réalisée.",OD-2296,OBCS-8159
"Mise à jour des dashboard OBC",OD-2295,OBCS-8158
"Note débit - Crédit : Intégration Type Axe et Axe analytique, afin de rattacher les frais bancaires au projet.",OD-2294,OBCS-8157
"Opération/vente/ Devis / Facture - Intégrer le modèle de facture et devis import et Export - Cilagri Cajou",OD-2293,OBCS-8156
"Message d'erreur apparaissant lorsqu'on clique sur ""Gestion des opportunités""",OD-2292,OBCS-8155
"Suppression du journal NSIA 2024.",OD-2291,OBCS-8154
"CRM/Activités commerciales/Gestion des opportunités/ Aucun montant n'apparait lorsqu'on sélectionne dans les filtres opportunités perdues ou abandonnées : Ajouter les montants perdus et abandonnés",OD-2290,OBCS-8149
"Opération/Vente || Achat/ Création fiche fournisseur || Client - Lors de la création d'un nouveau client ou fournisseur, proposer des Numéros de poste comptable automatique en tenant compte du dernier N° de poste et de la nomenclature.",OD-2289,OBCS-8147
"Opération/ Vente/ Devis || Contrat - Donner la possibilité de saisir un montant en lieu et place du pourcentage dans le champ ""libellé de condition""",OD-2288,OBCS-8146
"Paramétrage/ Tréso/ Création compte caisse - Donner la possibilité d'assigner la caisse à une caissière par intérim, sur une période sans toucher aux paramétrages de base de la caisse",OD-2287,OBCS-8145
"Opération/ Vente/Opération de caisse : Faire apparaître sur un bon une nature d'opération unique (Soit  Appro, ou sortie de caisse) ",OD-2286,OBCS-8144
"Finance/Comptabilité/Opération de caisse - Donner la possibilité d'avoir sur une feuille A4 deux bons de versement (Un à remettre au client, et un autre à archiver.",OD-2285,OBCS-8143
"Finance/Comptabilité/Opération Caisse - A l'enregistrement d'une opération, avoir uniquement la liste des caisse en fonction des sites",OD-2284,OBCS-8142
"Gestion de stock, demande de sortie : Dans l'historique toutes les demandes de sorties de toutes les entités s'affichent malgré que certaines entités soient désactivées.",OD-2283,OBCS-8107
"Possibilité de faire une programmation de paiement fournisseurs en sélectionnant plusieurs factures",OD-2282,OBCS-8069
"Historique demande d'absence : Les heures et les dates de fin ont disparu sur les demandes d'absences déjà enregistrées.",OD-2280,OBCS-8061
"Stock fiche article: Des articles ont été impotés sur l'entité INSPEC mais ils ne s'affichent pas dans l'historique.",OD-2279,OBCS-8054
"Mauvais calcul de l'ancienneté",OD-2277,OBCS-8048
"RH/Gestion employé/Demande d'absence - En saisissant la date de début et l'heure, la date de fin s'efface.",OD-2276,OBCS-8047
"CRM/Activités commerciales/Gestion des opportunités/ Une page d'erreur apparait lorsqu'on clique sur gestion des opportunités",OD-2275,OBCS-8046
"Certaines factures enregistrées en opération, ne s'affiche pas sur le dashboard vente et achat",OD-2274,OBCS-8043
"En historique des tâches, dans la colonne ""responsable"" , on a ""Inconnu or à l'édition, on remarque que des employés sont rattachés à chaque tâche (voir captures)",OD-2273,OBCS-8042
"Impossible de calculer la paie de Décembre (Voir capture joint)",OD-2272,OBCS-8041
"Encaissement client option autre: L'oglet axe analytique a été ajouté pour permettre la récupération sur le dashboard projet colonne chiffre d'affaire encaissé.",OD-2271,OBCS-8040
"Chiffre d'affaire encaissé sur dashboard projet: Les montants encaissés liés aux factures ne sont pas récupérés.",OD-2270,OBCS-8039
"Rendre exportable le Dashboard de projets",OD-2268,OBCS-7970
"Fixer le journal ou déverser la liste des journaux en lieu et place de la saisie a chaque paramétrage",OD-2267,OBCS-7968
"Contrat journalier: Point d'amélioration sur l'interface de création et de modification",OD-2266,OBCS-7964
"A l'enregistrement d'un contrat journalier un message s'affiche disant que le signataire existe déjà alors qu'aucun signataire n'a été ajouté.",OD-2265,OBCS-7963
"Congés et autres absences : Déduire les congés automatiquement du stock congé les congés annuels pris et validés lors du calcul de la paie",OD-2264,OBCS-7962
"RH/SALAIRE/OPERATIONS DE PAIE/ les montants des charges salariales (6611...) sont détaillés au niveau de la comptabilisation de la paie",OD-2263,OBCS-7960
"Les écritures comptables ont disparu dans le journal après la modification des postes comptables.",OD-2262,OBCS-7959
"A l'enregistrement d'une demande d'absence ""constaté"", le processus du workflow est comme une demande ""normale"".",OD-2261,OBCS-7958
"harmoniser la liste de secteurs dans les champs de création de prospects ou de clients",OD-2259,OBCS-7956
"La section pour l'ajout de nouvelle activité ne s'ouvre toujours pas correctement donc il est impossible d'enregistrer les activités; le champ attribué À n'est pas ouvert, ni celui de la priorité.",OD-2258,OBCS-7955
"A l'ouverture de certaines opportunités, un message d'erreur apparait",OD-2257,OBCS-7954
"Finance / Imputation - Malgré les paramétrages de la natures de prestation, aucune écriture ne se déverse dans la compta",OD-2256,OBCS-7953
"Intégrer le calcul de la gratification de K&D",OD-2255,OBCS-7952
"Impossible de joindre un fichier lors d'une demande d'absence (Voir capture)",OD-2254,OBCS-7951
"RH/Gestion employés/Frais de mission:A l'enregistrement des frais de mission, un message s'affiche demandant de renseigner un prix unitaire alors qu'il est renseigné.",OD-2253,OBCS-7950
"Bulletin de salaire : Non affichage des bulletins de salaire",OD-2252,OBCS-7949
"Nous constatons une page d'erreur lorsqu'on clique sur la fonctionnalité paramétrage compte client",OD-2251,OBCS-7901
"Finance/ Comptabilité - Ecriture Manuelle",OD-2250,
"Bien qu'un employé soit dans le workflow de demande d'absence, nous recevons un mail d'erreur (voir capture)",OD-2249,OBCS-7878
"Autoriser le calcul de la paie des mois à venir",OD-2248,OBCS-7877
"RH/Gestion de personnel /Demande d'ABS et congés - Lorsqu’une demande d’absence est éditée pour modification les heures et dates disparaissent",OD-2247,OBCS-7875
"Projet/ Audit Projet/ Engagement sous-traitant : Non récupération des montants ""Total planifié"" ; ""Total payé"" et ""Solde""",OD-2246,OBCS-7874
"Finance/Compta générale/ livre comptable - Absence de données dans le grand livre",OD-2245,
"Encaissement client: Ajouter un onglet permettant de renseigner le montant du timbre et rattacher un poste comptable.",OD-2244,OBCS-7873
"Grand-Livre Analytique : Mise à jour avec rajout des comptes généraux",OD-2243,OBCS-7872
"Encaissement client: Ajouter ''axe analytique'' permettant de lier chaque encaissement et récupérer sur le dashboard du projet.",OD-2242,OBCS-7871
"Dash Global - Donner la possibilité de masquer les données de la page d’accueil",OD-2241,OBCS-7870
"Paramétrage Site - Demande de suppression de stie",OD-2240,OBCS-7867
"Ajouter des totaux dans le rapport de paiement de salaire et des filtres par employés",OD-2239,OBCS-7866
"Stock-Budget : Possibilité d'avoir un Select All afin de déverser tous les articles stockables au lieu de le faire un à un",OD-2238,OBCS-7865
"Nous constatons un doublon de l'impôt CN qui empêche le déversement des autres impôts dans le formulaire d'enregistrement des impôts et taxes",OD-2237,OBCS-7864
"Suppressions saisies comptable",OD-2236,OBCS-7863
"Duplication salaire par personne + Suppression impossible",OD-2235,OBCS-7862
"Journalier apparaissant dans les éléments variables",OD-2234,OBCS-7861
"Nous constatons une page d'erreur après le chargement de la fonctionnalité ""fichier du personnel""",OD-2233,OBCS-7860
"Audit projet : récupérer les factures d'avoir qui viendront déduire la valeur des achats liés au projet.",OD-2232,OBCS-7859
"Nous constatons une page d'erreur quand on clique sur la fonctionnalité rubrique de budget",OD-2230,OBCS-7857
"Corriger le libellé de la fonctionnalité ""Salaire occasionnelle""",OD-2229,OBCS-7856
"Achat import: lorsqu'on sélectionne le bon de commande achat import un message d'erreur s'affiche. Voir capture jointe.",OD-2228,OBCS-7855
"Page d'erreur à l'ouverture des fonctionnalités suivantes : Fichier du personnel, congés et autres absences, prêts salariés",OD-2227,OBCS-7854
"Les rubriques de paie affiche les montants dans la ""colonne gain et dans la colonne retenue"" du bulletin de paie au lieu de la colonne concernée",OD-2225,OBCS-7762
"Intégration Bon d'enlèvement",OD-2224,OBCS-7751
"Erreur sur la fonctionnalité activités",OD-2223,OBCS-7750
"Erreur sur la fonctionnalité gestion opportunités",OD-2222,OBCS-7749
"Audit projet: Faire le total des quantités sorties par article sur le projet.",OD-2221,OBCS-7748
"Non affichage du nom des employés dans le livre de paie général",OD-2220,OBCS-7747
"Audit projet, l'onglet stock: les quatités sorties n'affichent pas les virgules.",OD-2219,OBCS-7746
"Sur le dashboard projet, ajouter les colonnes suivante: Chiffre d'affaire facturé et chiffre d'affaire encaissé.",OD-2218,OBCS-7745
"RH/DOC/Attestation de Congés - Donner la possibilité au Responsable des RH de signer les attestation de congés",OD-2217,OBCS-7744
"RH/Gestion Employé/Contrat Stage - Les contrats échu et en cours sont dans la même coloration et le filtre ramène à tous les contrats",OD-2216,OBCS-7743
"Le budget prévu-réalisé charge en boucle lorsqu'on sélectionne un buget global.",OD-2215,OBCS-7742
"Interface de génération du solde de tout compte",OD-2214,
"Interface de paramétrage de rubrique pour les types de départ",OD-2213,
"Interface de gestion de départ ou fin de contrat",OD-2212,
"Gérer les absences en heures",OD-2211,OBCS-7739
"Quand on passe les écritures manuelles et qu'on atteint environ 40 lignes, OBC devient très lent et il est difficile de poursuivre l'enregistrement",OD-2209,OBCS-7737
"Préciser dans le message ""un numéro de poste comptable""",OD-2208,OBCS-7736
"Avoir la possibilité d'inscrire la date du retour de chèque (chèque impayé) lors de la suppression de paiement",OD-2207,OBCS-7735
"Stabilisation du RAN",OD-2206,OBCS-7734
"RH/Gestion Employé/Demande d'absence - Rajouter dans la checklist les absences rejetées",OD-2205,OBCS-7733
"Nous constatons des validations déjà effectuées qui reviennent en attente de validation",OD-2204,OBCS-7732
"RH/Gestion Employé/Demande d'absence - Surligner dans l'historique les lignes d'absences annulées",OD-2203,OBCS-7731
"Analyse et Menu Module AGRO",OD-2202,OBCS-7725
"La modification de la date de l'opportunité n'est pas prise en compte.",OD-2201,OBCS-7724
"RH / Gestion Employé / Fichier du personnel - le Nombre de part ne se génère plus de façon automatique.",OD-2200,OBCS-7723
"Gestion de visibilité des demande d'absences",OD-2199,OBCS-7722
